danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Song,Artist
0.392,0.629,0,-8.885,1,0.0447,0.562,6.12e-05,0.374,0.539,146.657,audio_features,3igkLltDaiFiMl83IdDBfm,spotify:track:3igkLltDaiFiMl83IdDBfm,https://api.spotify.com/v1/tracks/3igkLltDaiFiMl83IdDBfm,https://api.spotify.com/v1/audio-analysis/3igkLltDaiFiMl83IdDBfm,437040,4,Captain Jack,Billy Joel
0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.433,audio_features,70wYA8oYHoMzhRRkARoMhU,spotify:track:70wYA8oYHoMzhRRkARoMhU,https://api.spotify.com/v1/tracks/70wYA8oYHoMzhRRkARoMhU,https://api.spotify.com/v1/audio-analysis/70wYA8oYHoMzhRRkARoMhU,220427,4,When You Were Young,The Killers
0.551,0.814,4,-3.683,1,0.0425,0.00089,1.16e-06,0.18,0.469,130.971,audio_features,6CltzquypraYIlWFp48m1O,spotify:track:6CltzquypraYIlWFp48m1O,https://api.spotify.com/v1/tracks/6CltzquypraYIlWFp48m1O,https://api.spotify.com/v1/audio-analysis/6CltzquypraYIlWFp48m1O,237987,4,Hypersonic Missiles,Sam Fender
0.884,0.37,8,-11.353,1,0.112,0.0188,0.00423,0.026,0.883,109.997,audio_features,5DOYik1z3Of1wAFfY3dYbC,spotify:track:5DOYik1z3Of1wAFfY3dYbC,https://api.spotify.com/v1/tracks/5DOYik1z3Of1wAFfY3dYbC,https://api.spotify.com/v1/audio-analysis/5DOYik1z3Of1wAFfY3dYbC,247507,4,Mr. Wendal,Arrested Development
0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879,audio_features,5QLHGv0DfpeXLNFo7SFEy1,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,https://api.spotify.com/v1/tracks/5QLHGv0DfpeXLNFo7SFEy1,https://api.spotify.com/v1/audio-analysis/5QLHGv0DfpeXLNFo7SFEy1,266200,4,1979 - Remastered 2012,The Smashing Pumpkins
0.482,0.721,0,-6.839,1,0.0321,0.731,0.0,0.189,0.557,95.263,audio_features,3AhXZa8sUQht0UEdBJgpGc,spotify:track:3AhXZa8sUQht0UEdBJgpGc,https://api.spotify.com/v1/tracks/3AhXZa8sUQht0UEdBJgpGc,https://api.spotify.com/v1/audio-analysis/3AhXZa8sUQht0UEdBJgpGc,369600,4,Like a Rolling Stone,Bob Dylan
0.624,0.93,0,-12.774,1,0.0594,0.125,0.0,0.184,0.593,130.187,audio_features,1b4lRbj8uUoE9OOw1Tql8Q,spotify:track:1b4lRbj8uUoE9OOw1Tql8Q,https://api.spotify.com/v1/tracks/1b4lRbj8uUoE9OOw1Tql8Q,https://api.spotify.com/v1/audio-analysis/1b4lRbj8uUoE9OOw1Tql8Q,299667,4,Prime Time,Don McLean
0.64,0.651,4,-14.981,0,0.0517,0.142,0.28,0.0341,0.801,111.676,audio_features,4c4jJJoaiY21t2TyRZgdWS,spotify:track:4c4jJJoaiY21t2TyRZgdWS,https://api.spotify.com/v1/tracks/4c4jJJoaiY21t2TyRZgdWS,https://api.spotify.com/v1/audio-analysis/4c4jJJoaiY21t2TyRZgdWS,271573,4,Magic Carpet Ride,Steppenwolf
0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456,audio_features,0pQskrTITgmCMyr85tb9qq,spotify:track:0pQskrTITgmCMyr85tb9qq,https://api.spotify.com/v1/tracks/0pQskrTITgmCMyr85tb9qq,https://api.spotify.com/v1/audio-analysis/0pQskrTITgmCMyr85tb9qq,254293,4,Starman - 2012 Remaster,David Bowie
0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,audio_features,6L89mwZXSOwYl76YXfX13s,spotify:track:6L89mwZXSOwYl76YXfX13s,https://api.spotify.com/v1/tracks/6L89mwZXSOwYl76YXfX13s,https://api.spotify.com/v1/audio-analysis/6L89mwZXSOwYl76YXfX13s,181533,4,Basket Case,Green Day
0.485,0.378,3,-11.773,1,0.0337,0.831,0.0,0.103,0.528,92.928,audio_features,4Xl2PrS3DJqqSKXCo6Uhv9,spotify:track:4Xl2PrS3DJqqSKXCo6Uhv9,https://api.spotify.com/v1/tracks/4Xl2PrS3DJqqSKXCo6Uhv9,https://api.spotify.com/v1/audio-analysis/4Xl2PrS3DJqqSKXCo6Uhv9,149613,4,Homeward Bound,Simon & Garfunkel
0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,audio_features,1qRA5BS78u3gME0loMl9AA,spotify:track:1qRA5BS78u3gME0loMl9AA,https://api.spotify.com/v1/tracks/1qRA5BS78u3gME0loMl9AA,https://api.spotify.com/v1/audio-analysis/1qRA5BS78u3gME0loMl9AA,153693,4,For What It's Worth,Buffalo Springfield
0.381,0.894,7,-8.638,1,0.037,0.0258,0.0,0.0251,0.797,205.528,audio_features,2oSpQ7QtIKTNFfA08Cy0ku,spotify:track:2oSpQ7QtIKTNFfA08Cy0ku,https://api.spotify.com/v1/tracks/2oSpQ7QtIKTNFfA08Cy0ku,https://api.spotify.com/v1/audio-analysis/2oSpQ7QtIKTNFfA08Cy0ku,246933,4,It's The End Of The World As We Know It (And I Feel Fine),R.E.M.
0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,audio_features,31AOj9sFz2gM0O3hMARRBx,spotify:track:31AOj9sFz2gM0O3hMARRBx,https://api.spotify.com/v1/tracks/31AOj9sFz2gM0O3hMARRBx,https://api.spotify.com/v1/audio-analysis/31AOj9sFz2gM0O3hMARRBx,268427,4,Losing My Religion,R.E.M.
0.552,0.608,1,-9.786,0,0.0345,0.352,0.0,0.0533,0.637,112.367,audio_features,4s6LhHAV5SEsOV0lC2tjvJ,spotify:track:4s6LhHAV5SEsOV0lC2tjvJ,https://api.spotify.com/v1/tracks/4s6LhHAV5SEsOV0lC2tjvJ,https://api.spotify.com/v1/audio-analysis/4s6LhHAV5SEsOV0lC2tjvJ,162373,4,California Dreamin' - Single Version,The Mamas & The Papas
0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017,audio_features,7oK9VyNzrYvRFo7nQEYkWN,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,https://api.spotify.com/v1/tracks/7oK9VyNzrYvRFo7nQEYkWN,https://api.spotify.com/v1/audio-analysis/7oK9VyNzrYvRFo7nQEYkWN,222587,4,Mr. Brightside,The Killers
0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033,audio_features,0iOZM63lendWRTTeKhZBSC,spotify:track:0iOZM63lendWRTTeKhZBSC,https://api.spotify.com/v1/tracks/0iOZM63lendWRTTeKhZBSC,https://api.spotify.com/v1/audio-analysis/0iOZM63lendWRTTeKhZBSC,244027,4,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel
0.778,0.899,2,-6.552,1,0.0451,0.0028,0.0345,0.0263,0.881,119.995,audio_features,3OOFEF20WqtsUPcRbPY3L7,spotify:track:3OOFEF20WqtsUPcRbPY3L7,https://api.spotify.com/v1/tracks/3OOFEF20WqtsUPcRbPY3L7,https://api.spotify.com/v1/audio-analysis/3OOFEF20WqtsUPcRbPY3L7,204133,4,Short Skirt / Long Jacket,CAKE
0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,audio_features,20OFwXhEXf12DzwXmaV7fj,spotify:track:20OFwXhEXf12DzwXmaV7fj,https://api.spotify.com/v1/tracks/20OFwXhEXf12DzwXmaV7fj,https://api.spotify.com/v1/audio-analysis/20OFwXhEXf12DzwXmaV7fj,141600,4,Bad Moon Rising,Creedence Clearwater Revival
0.41,0.763,4,-7.904,1,0.338,0.274,1.36e-05,0.0553,0.649,172.295,audio_features,3G19lVvFje61D7q1uG3QjD,spotify:track:3G19lVvFje61D7q1uG3QjD,https://api.spotify.com/v1/tracks/3G19lVvFje61D7q1uG3QjD,https://api.spotify.com/v1/audio-analysis/3G19lVvFje61D7q1uG3QjD,284333,4,Add It Up,Violent Femmes
0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,audio_features,3ZOEytgrvLwQaqXreDs2Jx,spotify:track:3ZOEytgrvLwQaqXreDs2Jx,https://api.spotify.com/v1/tracks/3ZOEytgrvLwQaqXreDs2Jx,https://api.spotify.com/v1/audio-analysis/3ZOEytgrvLwQaqXreDs2Jx,269000,4,Can't Stop,Red Hot Chili Peppers
0.604,0.844,8,-6.003,1,0.0597,0.000401,0.214,0.0484,0.791,160.318,audio_features,6bVB2MGR7LcotAIB1vfpw6,spotify:track:6bVB2MGR7LcotAIB1vfpw6,https://api.spotify.com/v1/tracks/6bVB2MGR7LcotAIB1vfpw6,https://api.spotify.com/v1/audio-analysis/6bVB2MGR7LcotAIB1vfpw6,270893,4,Ava Adore,The Smashing Pumpkins
0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,audio_features,40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv,391376,4,Hotel California - 2013 Remaster,Eagles
0.486,0.963,0,-5.586,0,0.129,0.248,2.39e-06,0.158,0.533,113.133,audio_features,1ntxpzIUbSsizvuAy6lTYY,spotify:track:1ntxpzIUbSsizvuAy6lTYY,https://api.spotify.com/v1/tracks/1ntxpzIUbSsizvuAy6lTYY,https://api.spotify.com/v1/audio-analysis/1ntxpzIUbSsizvuAy6lTYY,146573,4,Crosstown Traffic,Jimi Hendrix
0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000208,0.297,0.385,141.466,audio_features,5QTxFnGygVM4jFQiBovmRo,spotify:track:5QTxFnGygVM4jFQiBovmRo,https://api.spotify.com/v1/tracks/5QTxFnGygVM4jFQiBovmRo,https://api.spotify.com/v1/audio-analysis/5QTxFnGygVM4jFQiBovmRo,308120,4,(Don't Fear) The Reaper,Blue Öyster Cult
0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2,audio_features,7BY005dacJkbO6EPiOh2wb,spotify:track:7BY005dacJkbO6EPiOh2wb,https://api.spotify.com/v1/tracks/7BY005dacJkbO6EPiOh2wb,https://api.spotify.com/v1/audio-analysis/7BY005dacJkbO6EPiOh2wb,271280,3,House Of The Rising Sun,The Animals
